2016-05-07 00:30:22 startup archives install
2016-05-07 00:30:22 install base-passwd:amd64 <none> 3.5.39
2016-05-07 00:30:22 status half-installed base-passwd:amd64 3.5.39
2016-05-07 00:30:22 status unpacked base-passwd:amd64 3.5.39
2016-05-07 00:30:22 status unpacked base-passwd:amd64 3.5.39
2016-05-07 00:30:22 configure base-passwd:amd64 3.5.39 3.5.39
2016-05-07 00:30:22 status unpacked base-passwd:amd64 3.5.39
2016-05-07 00:30:22 status half-configured base-passwd:amd64 3.5.39
2016-05-07 00:30:22 status installed base-passwd:amd64 3.5.39
2016-05-07 00:30:23 startup archives install
2016-05-07 00:30:23 install base-files:amd64 <none> 9.4ubuntu4
2016-05-07 00:30:23 status half-installed base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 configure base-files:amd64 9.4ubuntu4 9.4ubuntu4
2016-05-07 00:30:23 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status half-configured base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 status installed base-files:amd64 9.4ubuntu4
2016-05-07 00:30:23 startup archives install
2016-05-07 00:30:23 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2016-05-07 00:30:23 status half-configured dpkg 1.18.4ubuntu1
2016-05-07 00:30:23 status unpacked dpkg 1.18.4ubuntu1
2016-05-07 00:30:23 status half-installed dpkg 1.18.4ubuntu1
2016-05-07 00:30:23 status half-installed dpkg 1.18.4ubuntu1
2016-05-07 00:30:23 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:23 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:23 configure dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2016-05-07 00:30:23 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:23 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:23 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:23 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:23 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:23 status half-configured dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:24 status installed dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:24 startup archives install
2016-05-07 00:30:24 install libc6:amd64 <none> 2.23-0ubuntu3
